segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
1292,State,41.867413,-87.62732,41.87564,-87.62752,STATE,"LINESTRING (447939.080336611 4635245.581478276, 447929.2967359787 4636159.266310711)"
1293,State,41.87564,-87.627716,41.867413,-87.62752,STATE,"LINESTRING (447912.8366230311 4636159.3866712125, 447922.6181123578 4635245.701796889)"
1294,State,41.87564,-87.62752,41.886814,-87.62788,STATE,"LINESTRING (447929.2967359787 4636159.266310711, 447908.6177612076 4637400.019361956)"
1295,State,41.886814,-87.628075,41.87564,-87.627716,STATE,"LINESTRING (447892.16051572474 4637400.13979644, 447912.8366230311 4636159.3866712125)"
1297,State,41.896675,-87.628296,41.886814,-87.628075,STATE,"LINESTRING (447881.8212872091 4638495.115410162, 447892.16051572474 4637400.13979644)"
493,Archer,41.79223,-87.78179,41.794067,-87.77208,ARCHER,"LINESTRING (435043.4506355029 4627003.380030076, 435852.24660924746 4627200.2288844045)"
859,Higgins,41.97047,-87.76756,41.973328,-87.77824,HIGGINS,"LINESTRING (436402.68336017535 4646782.4879240785, 435521.192196154 4647107.700632844)"
860,Higgins,41.968853,-87.761475,41.97047,-87.76756,HIGGINS,"LINESTRING (436905.54002572916 4646598.403912637, 436402.68336017535 4646782.4879240785)"
877,LaSalle,41.91325,-87.631546,41.91285,-87.62683,LASALLE,"LINESTRING (447625.7656058816 4640337.364257703, 448016.4553388811 4640290.024330759)"
884,LaSalle,41.91294,-87.6266,41.913383,-87.63191,LASALLE,"LINESTRING (448035.51101706695 4640300.050539647, 447595.504744168 4640352.411775709)"
928,Milwaukee,41.90334,-87.666275,41.910477,-87.677315,MILWAUKEE,"LINESTRING (444737.1215831152 4639258.80351407, 443827.70500595885 4640058.413633892)"
929,Milwaukee,41.910477,-87.677315,41.91757,-87.68836,MILWAUKEE,"LINESTRING (443827.70500595885 4640058.413633892, 442917.8196258978 4640853.065593926)"
930,Milwaukee,41.91757,-87.68836,41.92479,-87.700226,MILWAUKEE,"LINESTRING (442917.8196258978 4640853.065593926, 441940.56734977505 4641662.78969826)"
933,Milwaukee,41.896236,-87.65556,41.889023,-87.6445,MILWAUKEE,"LINESTRING (445619.5581226421 4638463.332330154, 446531.2156018966 4637655.472136571)"
934,Milwaukee,41.903343,-87.66665,41.896236,-87.65556,MILWAUKEE,"LINESTRING (444706.1172658016 4639259.4679513695, 445619.5581226421 4638463.332330154)"
1053,Washington,41.88303,-87.64741,41.883144,-87.637024,WASHINGTON,"LINESTRING (446285.0420347479 4636991.912427493, 447146.66096004157 4636998.171338298)"
1054,Washington,41.883144,-87.637024,41.883198,-87.62442,WASHINGTON,"LINESTRING (447146.66096004157 4636998.171338298, 448192.4320706472 4636996.41525214)"
1081,127th,41.663193,-87.641365,41.66328,-87.61766,127TH,"LINESTRING (446604.3657737757 4612580.669443922, 448577.9205071229 4612575.996141512)"
1104,Cermak,41.85148,-87.74426,41.851383,-87.763916,CERMAK,"LINESTRING (438218.6173848919 4633554.008056409, 436587.0868105692 4633557.7466113595)"
1116,111th,41.69143,-87.70083,41.691643,-87.68116,111TH,"LINESTRING (441679.3149886902 4615754.121625121, 443316.2672381368 4615764.709057346)"
