model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogReg Numeric,,0.5791918396767738,0.0243175653471908,0.654965496549655,0.0468940480218251,0.661552419401793,0.0292072313180801
LogReg Numeric + Segment,,0.6581015203391599,0.0319818685469655,0.7049204920492049,0.0611876843345725,0.7487011234791525,0.0480850136342043
MLP Numeric,0.74,0.9197222037804564,0.0438823095246083,0.1962196219621962,0.0717242892002303,0.7010251751296714,0.0344790571132819
MLP Numeric + Segment,0.49,0.8998216944715802,0.0414196608072581,0.241074107410741,0.0706932957944747,0.7095997785004552,0.0327223798652954
CatBoost,0.75,0.9519713193660669,0.07242637805184998,0.17266726672667268,0.10204805390548807,0.7556291856967194,0.04969503047604106
